Category,Question,RegexPattern,Synonyms_Typos,ExampleResponse_EN,ExampleResponse_HI,ExampleResponse_FR,ExampleResponse_TA
Account & Login Issues,How do I reset my password?,\b(how|do|i|reset|my|password)\b,"pwd, passwrod, pass, mot de passe, கடவுச்சொல், पासवर्ड",This is how you can handle: How do I reset my password?,यहाँ बताया गया है: How do I reset my password?,Voici comment procéder : How do I reset my password?,இதை எப்படி செய்யலாம்: How do I reset my password?
Account & Login Issues,I forgot my username — how can I retrieve it?,\b(i|forgot|my|username|—|how|can|i|retrieve|it)\b,"user name, login name, uname, identifiant, பயனர் பெயர், उपयोगकर्ता नाम",This is how you can handle: I forgot my username — how can I retrieve it?,यहाँ बताया गया है: I forgot my username — how can I retrieve it?,Voici comment procéder : I forgot my username — how can I retrieve it?,இதை எப்படி செய்யலாம்: I forgot my username — how can I retrieve it?
Account & Login Issues,How do I create a new account?,\b(how|do|i|create|a|new|account)\b,,This is how you can handle: How do I create a new account?,यहाँ बताया गया है: How do I create a new account?,Voici comment procéder : How do I create a new account?,இதை எப்படி செய்யலாம்: How do I create a new account?
Access & Permissions,How do I request access to a system/application?,\b(how|do|i|request|access|to|a|system\/application)\b,,This is how you can handle: How do I request access to a system/application?,यहाँ बताया गया है: How do I request access to a system/application?,Voici comment procéder : How do I request access to a system/application?,இதை எப்படி செய்யலாம்: How do I request access to a system/application?
Access & Permissions,How can I contact admin?,\b(how|can|i|contact|admin)\b,,This is how you can handle: How can I contact admin?,यहाँ बताया गया है: How can I contact admin?,Voici comment procéder : How can I contact admin?,இதை எப்படி செய்யலாம்: How can I contact admin?
Access & Permissions,How do I remove access for a user?,\b(how|do|i|remove|access|for|a|user)\b,,This is how you can handle: How do I remove access for a user?,यहाँ बताया गया है: How do I remove access for a user?,Voici comment procéder : How do I remove access for a user?,இதை எப்படி செய்யலாம்: How do I remove access for a user?
Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(i|can’t|connect|to|the|vpn.|what|should|i|do)\b,"virtual private network, वीपीएन, மெய்நிகர் தனிப்பட்ட பிணையம்",This is how you can handle: I can’t connect to the VPN. What should I do?,यहाँ बताया गया है: I can’t connect to the VPN. What should I do?,Voici comment procéder : I can’t connect to the VPN. What should I do?,இதை எப்படி செய்யலாம்: I can’t connect to the VPN. What should I do?
Network & Connectivity,How do I connect to the Wi-Fi network?,\b(how|do|i|connect|to|the|wi-fi|network)\b,,This is how you can handle: How do I connect to the Wi-Fi network?,यहाँ बताया गया है: How do I connect to the Wi-Fi network?,Voici comment procéder : How do I connect to the Wi-Fi network?,இதை எப்படி செய்யலாம்: How do I connect to the Wi-Fi network?
Network & Connectivity,What should I check if the internet is slow or unstable?,\b(what|should|i|check|if|the|internet|is|slow|or|unstable)\b,,This is how you can handle: What should I check if the internet is slow or unstable?,यहाँ बताया गया है: What should I check if the internet is slow or unstable?,Voici comment procéder : What should I check if the internet is slow or unstable?,இதை எப்படி செய்யலாம்: What should I check if the internet is slow or unstable?
Email & Communication Tools,How do I set up my work email on my phone/laptop?,\b(how|do|i|set|up|my|work|email|on|my|phone\/laptop)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: How do I set up my work email on my phone/laptop?,यहाँ बताया गया है: How do I set up my work email on my phone/laptop?,Voici comment procéder : How do I set up my work email on my phone/laptop?,இதை எப்படி செய்யலாம்: How do I set up my work email on my phone/laptop?
Email & Communication Tools,My emails are not sending/receiving.,\b(my|emails|are|not|sending\/receiving.)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: My emails are not sending/receiving.,यहाँ बताया गया है: My emails are not sending/receiving.,Voici comment procéder : My emails are not sending/receiving.,இதை எப்படி செய்யலாம்: My emails are not sending/receiving.
Email & Communication Tools,How do I recover deleted emails?,\b(how|do|i|recover|deleted|emails)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: How do I recover deleted emails?,यहाँ बताया गया है: How do I recover deleted emails?,Voici comment procéder : How do I recover deleted emails?,இதை எப்படி செய்யலாம்: How do I recover deleted emails?
Email & Communication Tools,How do I configure Outlook/Gmail for my company email?,\b(how|do|i|configure|outlook\/gmail|for|my|company|email)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: How do I configure Outlook/Gmail for my company email?,यहाँ बताया गया है: How do I configure Outlook/Gmail for my company email?,Voici comment procéder : How do I configure Outlook/Gmail for my company email?,இதை எப்படி செய்யலாம்: How do I configure Outlook/Gmail for my company email?
Hardware Issues,My computer won’t turn on — what should I try?,\b(my|computer|won’t|turn|on|—|what|should|i|try)\b,"pc, laptop, workstation, ordinateur, கணினி",This is how you can handle: My computer won’t turn on — what should I try?,यहाँ बताया गया है: My computer won’t turn on — what should I try?,Voici comment procéder : My computer won’t turn on — what should I try?,இதை எப்படி செய்யலாம்: My computer won’t turn on — what should I try?
Hardware Issues,My printer is not working — how do I fix it?,\b(my|printer|is|not|working|—|how|do|i|fix|it)\b,"印刷机, imprimante, பிரின்டர், मुद्रक",This is how you can handle: My printer is not working — how do I fix it?,यहाँ बताया गया है: My printer is not working — how do I fix it?,Voici comment procéder : My printer is not working — how do I fix it?,இதை எப்படி செய்யலாம்: My printer is not working — how do I fix it?
Hardware Issues,How do I report damaged or lost company equipment?,\b(how|do|i|report|damaged|or|lost|company|equipment)\b,,This is how you can handle: How do I report damaged or lost company equipment?,यहाँ बताया गया है: How do I report damaged or lost company equipment?,Voici comment procéder : How do I report damaged or lost company equipment?,இதை எப்படி செய்யலாம்: How do I report damaged or lost company equipment?
Software & Applications,How do I install approved software?,\b(how|do|i|install|approved|software)\b,,This is how you can handle: How do I install approved software?,यहाँ बताया गया है: How do I install approved software?,Voici comment procéder : How do I install approved software?,இதை எப்படி செய்யலாம்: How do I install approved software?
Software & Applications,The application is freezing or crashing — what should I do?,\b(the|application|is|freezing|or|crashing|—|what|should|i|do)\b,,This is how you can handle: The application is freezing or crashing — what should I do?,यहाँ बताया गया है: The application is freezing or crashing — what should I do?,Voici comment procéder : The application is freezing or crashing — what should I do?,இதை எப்படி செய்யலாம்: The application is freezing or crashing — what should I do?
Software & Applications,How do I update my applications?,\b(how|do|i|update|my|applications)\b,,This is how you can handle: How do I update my applications?,यहाँ बताया गया है: How do I update my applications?,Voici comment procéder : How do I update my applications?,இதை எப்படி செய்யலாம்: How do I update my applications?
Security & Privacy,How do I report a phishing email?,\b(how|do|i|report|a|phishing|email)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: How do I report a phishing email?,यहाँ बताया गया है: How do I report a phishing email?,Voici comment procéder : How do I report a phishing email?,இதை எப்படி செய்யலாம்: How do I report a phishing email?
Security & Privacy,What should I do if I clicked a suspicious link?,\b(what|should|i|do|if|i|clicked|a|suspicious|link)\b,,This is how you can handle: What should I do if I clicked a suspicious link?,यहाँ बताया गया है: What should I do if I clicked a suspicious link?,Voici comment procéder : What should I do if I clicked a suspicious link?,இதை எப்படி செய்யலாம்: What should I do if I clicked a suspicious link?
Security & Privacy,How do I enable two-factor authentication (2FA)?,\b(how|do|i|enable|two-factor|authentication|(2fa))\b,,This is how you can handle: How do I enable two-factor authentication (2FA)?,यहाँ बताया गया है: How do I enable two-factor authentication (2FA)?,Voici comment procéder : How do I enable two-factor authentication (2FA)?,இதை எப்படி செய்யலாம்: How do I enable two-factor authentication (2FA)?
Security & Privacy,How do I encrypt a file or email?,\b(how|do|i|encrypt|a|file|or|email)\b,"mail, e-mail, courriel, மின்னஞ்சல், ईमेल",This is how you can handle: How do I encrypt a file or email?,यहाँ बताया गया है: How do I encrypt a file or email?,Voici comment procéder : How do I encrypt a file or email?,இதை எப்படி செய்யலாம்: How do I encrypt a file or email?
