keyword,category,faq_question,regex_pattern
reset,Account & Login Issues,How do I reset my password?,\b(reset)\b
how,Account & Login Issues,How do I reset my password?,\b(how)\b
password,Account & Login Issues,How do I reset my password?,\b(password|passwrod|pwd|passcode)\b
retrieve,Account & Login Issues,I forgot my username — how can I retrieve it?,\b(retrieve)\b
forgot,Account & Login Issues,I forgot my username — how can I retrieve it?,\b(forgot)\b
username,Account & Login Issues,I forgot my username — how can I retrieve it?,\b(username|user\ name|login\ name|uname)\b
how,Account & Login Issues,I forgot my username — how can I retrieve it?,\b(how)\b
can,Account & Login Issues,I forgot my username — how can I retrieve it?,\b(can)\b
account,Account & Login Issues,How do I create a new account?,\b(account|acount|profile|user\ account)\b
create,Account & Login Issues,How do I create a new account?,\b(create)\b
how,Account & Login Issues,How do I create a new account?,\b(how)\b
new,Account & Login Issues,How do I create a new account?,\b(new)\b
request,Access & Permissions,How do I request access to a system/application?,\b(request)\b
system/application,Access & Permissions,How do I request access to a system/application?,\b(system/application)\b
how,Access & Permissions,How do I request access to a system/application?,\b(how)\b
access,Access & Permissions,How do I request access to a system/application?,\b(access)\b
contact,Access & Permissions,How can I contact admin?,\b(contact)\b
how,Access & Permissions,How can I contact admin?,\b(how)\b
can,Access & Permissions,How can I contact admin?,\b(can)\b
admin,Access & Permissions,How can I contact admin?,\b(admin)\b
for,Access & Permissions,How do I remove access for a user?,\b(for)\b
remove,Access & Permissions,How do I remove access for a user?,\b(remove)\b
user,Access & Permissions,How do I remove access for a user?,\b(user)\b
how,Access & Permissions,How do I remove access for a user?,\b(how)\b
access,Access & Permissions,How do I remove access for a user?,\b(access)\b
should,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(should)\b
can’t,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(can’t)\b
what,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(what)\b
the,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(the)\b
connect,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(connect)\b
vpn,Network & Connectivity,I can’t connect to the VPN. What should I do?,\b(vpn|vpnn|virtual\ private\ network)\b
wi-fi,Network & Connectivity,How do I connect to the Wi-Fi network?,\b(wi\-fi)\b
how,Network & Connectivity,How do I connect to the Wi-Fi network?,\b(how)\b
network,Network & Connectivity,How do I connect to the Wi-Fi network?,\b(network)\b
the,Network & Connectivity,How do I connect to the Wi-Fi network?,\b(the)\b
